pair,effective_date,rate
CZK/EUR,1993-01-04 ,34.497 
CZK/EUR,1993-01-05 ,34.732 
CZK/EUR,1993-01-06 ,34.876 
CZK/EUR,1993-01-07 ,34.744 
CZK/EUR,1993-01-08 ,34.626 
CZK/EUR,1993-01-11 ,35.081 
CZK/EUR,1993-01-12 ,35.137 
CZK/EUR,1993-01-13 ,34.895 
CZK/EUR,1993-01-14 ,35.100 
CZK/EUR,1993-01-15 ,35.020 
CZK/EUR,1993-01-18 ,35.044 
CZK/EUR,1993-01-19 ,35.224 
CZK/EUR,1993-01-20 ,35.351 
CZK/EUR,1993-01-21 ,35.038 
CZK/EUR,1993-01-22 ,35.143 
CZK/EUR,1993-01-25 ,35.681 
CZK/EUR,1993-01-26 ,35.669 
CZK/EUR,1993-01-27 ,35.234 
CZK/EUR,1993-01-28 ,35.283 
CZK/EUR,1993-01-29 ,34.863 
CZK/EUR,1993-02-01 ,34.363 
CZK/EUR,1993-02-02 ,34.611 
CZK/EUR,1993-02-03 ,34.354 
CZK/EUR,1993-02-04 ,34.267 
CZK/EUR,1993-02-05 ,34.300 
CZK/EUR,1993-02-08 ,34.576 
CZK/EUR,1993-02-09 ,34.261 
CZK/EUR,1993-02-10 ,34.480 
CZK/EUR,1993-02-11 ,34.015 
CZK/EUR,1993-02-12 ,34.391 
CZK/EUR,1993-02-15 ,34.030 
CZK/EUR,1993-02-16 ,34.449 
CZK/EUR,1993-02-17 ,34.591 
CZK/EUR,1993-02-18 ,33.989 
CZK/EUR,1993-02-19 ,34.309 
CZK/EUR,1993-02-22 ,34.468 
CZK/EUR,1993-02-23 ,34.357 
CZK/EUR,1993-02-24 ,34.442 
CZK/EUR,1993-02-25 ,34.111 
CZK/EUR,1993-02-26 ,33.966 
CZK/EUR,1993-03-01 ,34.095 
CZK/EUR,1993-03-02 ,34.429 
CZK/EUR,1993-03-03 ,34.418 
CZK/EUR,1993-03-04 ,34.319 
CZK/EUR,1993-03-05 ,34.327 
CZK/EUR,1993-03-08 ,33.964 
CZK/EUR,1993-03-09 ,34.167 
CZK/EUR,1993-03-10 ,33.980 
CZK/EUR,1993-03-11 ,33.957 
CZK/EUR,1993-03-12 ,34.063 
CZK/EUR,1993-03-15 ,33.967 
CZK/EUR,1993-03-16 ,34.113 
CZK/EUR,1993-03-17 ,34.022 
CZK/EUR,1993-03-18 ,34.084 
CZK/EUR,1993-03-19 ,34.626 
CZK/EUR,1993-03-22 ,34.334 
CZK/EUR,1993-03-23 ,34.310 
CZK/EUR,1993-03-24 ,34.270 
CZK/EUR,1993-03-25 ,34.184 
CZK/EUR,1993-03-26 ,34.264 
CZK/EUR,1993-03-29 ,34.457 
CZK/EUR,1993-03-30 ,34.315 
CZK/EUR,1993-03-31 ,34.632 
CZK/EUR,1993-04-01 ,34.500 
CZK/EUR,1993-04-02 ,34.899 
CZK/EUR,1993-04-05 ,34.509 
CZK/EUR,1993-04-06 ,34.478 
CZK/EUR,1993-04-07 ,34.459 
CZK/EUR,1993-04-08 ,34.468 
CZK/EUR,1993-04-13 ,35.031 
CZK/EUR,1993-04-14 ,34.973 
CZK/EUR,1993-04-15 ,34.565 
CZK/EUR,1993-04-16 ,34.604 
CZK/EUR,1993-04-19 ,34.544 
CZK/EUR,1993-04-20 ,35.119 
CZK/EUR,1993-04-21 ,34.550 
CZK/EUR,1993-04-22 ,34.758 
CZK/EUR,1993-04-23 ,34.831 
CZK/EUR,1993-04-26 ,35.394 
CZK/EUR,1993-04-27 ,35.039 
CZK/EUR,1993-04-28 ,34.759 
CZK/EUR,1993-04-29 ,35.237 
CZK/EUR,1993-04-30 ,35.081 
CZK/EUR,1993-05-03 ,34.889 
CZK/EUR,1993-05-04 ,35.285 
CZK/EUR,1993-05-05 ,35.118 
CZK/EUR,1993-05-06 ,34.945 
CZK/EUR,1993-05-07 ,35.180 
CZK/EUR,1993-05-10 ,34.717 
CZK/EUR,1993-05-11 ,34.489 
CZK/EUR,1993-05-12 ,34.861 
CZK/EUR,1993-05-13 ,34.663 
CZK/EUR,1993-05-14 ,34.746 
CZK/EUR,1993-05-17 ,34.855 
CZK/EUR,1993-05-18 ,34.413 
CZK/EUR,1993-05-19 ,34.749 
CZK/EUR,1993-05-21 ,34.753 
CZK/EUR,1993-05-24 ,34.396 
CZK/EUR,1993-05-25 ,34.710 
CZK/EUR,1993-05-26 ,34.802 
CZK/EUR,1993-05-27 ,34.832 
CZK/EUR,1993-05-28 ,35.108 
CZK/EUR,1993-06-01 ,34.882 
CZK/EUR,1993-06-02 ,34.790 
CZK/EUR,1993-06-03 ,34.672 
CZK/EUR,1993-06-04 ,34.851 
CZK/EUR,1993-06-07 ,34.233 
CZK/EUR,1993-06-08 ,34.709 
CZK/EUR,1993-06-09 ,34.528 
CZK/EUR,1993-06-10 ,34.474 
CZK/EUR,1993-06-11 ,34.703 
CZK/EUR,1993-06-14 ,34.768 
CZK/EUR,1993-06-15 ,34.658 
CZK/EUR,1993-06-16 ,34.298 
CZK/EUR,1993-06-17 ,34.307 
CZK/EUR,1993-06-18 ,34.343 
CZK/EUR,1993-06-21 ,33.940 
CZK/EUR,1993-06-22 ,34.334 
CZK/EUR,1993-06-23 ,34.010 
CZK/EUR,1993-06-24 ,34.010 
CZK/EUR,1993-06-25 ,34.179 
CZK/EUR,1993-06-28 ,34.065 
CZK/EUR,1993-06-29 ,34.425 
CZK/EUR,1993-06-30 ,34.416 
CZK/EUR,1993-07-01 ,34.053 
CZK/EUR,1993-07-02 ,34.493 
CZK/EUR,1993-07-07 ,34.137 
CZK/EUR,1993-07-08 ,34.052 
CZK/EUR,1993-07-09 ,33.738 
CZK/EUR,1993-07-12 ,33.669 
CZK/EUR,1993-07-13 ,34.037 
CZK/EUR,1993-07-14 ,33.833 
CZK/EUR,1993-07-15 ,34.095 
CZK/EUR,1993-07-16 ,33.792 
CZK/EUR,1993-07-19 ,34.061 
CZK/EUR,1993-07-20 ,34.030 
CZK/EUR,1993-07-21 ,34.118 
CZK/EUR,1993-07-22 ,33.847 
CZK/EUR,1993-07-23 ,33.659 
CZK/EUR,1993-07-26 ,33.697 
CZK/EUR,1993-07-27 ,33.879 
CZK/EUR,1993-07-28 ,33.823 
CZK/EUR,1993-07-29 ,33.935 
CZK/EUR,1993-07-30 ,33.290 
CZK/EUR,1993-08-02 ,33.487 
CZK/EUR,1993-08-03 ,33.903 
CZK/EUR,1993-08-04 ,33.790 
CZK/EUR,1993-08-05 ,33.627 
CZK/EUR,1993-08-06 ,33.555 
CZK/EUR,1993-08-09 ,33.754 
CZK/EUR,1993-08-10 ,33.378 
CZK/EUR,1993-08-11 ,33.236 
CZK/EUR,1993-08-12 ,33.321 
CZK/EUR,1993-08-13 ,33.357 
CZK/EUR,1993-08-16 ,33.347 
CZK/EUR,1993-08-17 ,33.665 
CZK/EUR,1993-08-18 ,33.499 
CZK/EUR,1993-08-19 ,33.765 
CZK/EUR,1993-08-20 ,33.712 
CZK/EUR,1993-08-23 ,33.909 
CZK/EUR,1993-08-24 ,33.649 
CZK/EUR,1993-08-25 ,33.720 
CZK/EUR,1993-08-26 ,33.679 
CZK/EUR,1993-08-27 ,33.928 
CZK/EUR,1993-08-30 ,33.664 
CZK/EUR,1993-08-31 ,33.672 
CZK/EUR,1993-09-01 ,33.680 
CZK/EUR,1993-09-02 ,33.847 
CZK/EUR,1993-09-03 ,33.753 
CZK/EUR,1993-09-06 ,34.284 
CZK/EUR,1993-09-07 ,33.835 
CZK/EUR,1993-09-08 ,33.953 
CZK/EUR,1993-09-09 ,34.220 
CZK/EUR,1993-09-10 ,34.201 
CZK/EUR,1993-09-13 ,34.246 
CZK/EUR,1993-09-14 ,34.028 
CZK/EUR,1993-09-15 ,34.415 
CZK/EUR,1993-09-16 ,34.342 
CZK/EUR,1993-09-17 ,33.695 
CZK/EUR,1993-09-20 ,33.925 
CZK/EUR,1993-09-21 ,34.312 
CZK/EUR,1993-09-22 ,33.614 
CZK/EUR,1993-09-23 ,33.814 
CZK/EUR,1993-09-24 ,33.436 
CZK/EUR,1993-09-27 ,34.260 
CZK/EUR,1993-09-28 ,33.895 
CZK/EUR,1993-09-29 ,34.261 
CZK/EUR,1993-09-30 ,33.724 
CZK/EUR,1993-10-01 ,33.454 
CZK/EUR,1993-10-04 ,34.042 
CZK/EUR,1993-10-05 ,34.051 
CZK/EUR,1993-10-06 ,33.697 
CZK/EUR,1993-10-07 ,33.982 
CZK/EUR,1993-10-08 ,34.053 
CZK/EUR,1993-10-11 ,34.180 
CZK/EUR,1993-10-12 ,33.997 
CZK/EUR,1993-10-13 ,33.739 
CZK/EUR,1993-10-14 ,33.675 
CZK/EUR,1993-10-15 ,33.482 
CZK/EUR,1993-10-18 ,33.595 
CZK/EUR,1993-10-19 ,33.421 
CZK/EUR,1993-10-20 ,33.501 
CZK/EUR,1993-10-21 ,33.514 
CZK/EUR,1993-10-22 ,33.291 
CZK/EUR,1993-10-25 ,33.570 
CZK/EUR,1993-10-26 ,33.416 
CZK/EUR,1993-10-27 ,33.616 
CZK/EUR,1993-10-29 ,33.575 
CZK/EUR,1993-11-01 ,33.324 
CZK/EUR,1993-11-02 ,33.338 
CZK/EUR,1993-11-03 ,33.535 
CZK/EUR,1993-11-04 ,33.611 
CZK/EUR,1993-11-05 ,33.405 
CZK/EUR,1993-11-08 ,33.703 
CZK/EUR,1993-11-09 ,33.530 
CZK/EUR,1993-11-10 ,33.355 
CZK/EUR,1993-11-11 ,33.500 
CZK/EUR,1993-11-12 ,33.344 
CZK/EUR,1993-11-15 ,33.671 
CZK/EUR,1993-11-16 ,33.430 
CZK/EUR,1993-11-17 ,33.291 
CZK/EUR,1993-11-18 ,33.540 
CZK/EUR,1993-11-19 ,33.399 
CZK/EUR,1993-11-22 ,33.519 
CZK/EUR,1993-11-23 ,33.453 
CZK/EUR,1993-11-24 ,33.571 
CZK/EUR,1993-11-25 ,33.381 
CZK/EUR,1993-11-26 ,33.390 
CZK/EUR,1993-11-29 ,33.350 
CZK/EUR,1993-11-30 ,33.518 
CZK/EUR,1993-12-01 ,33.283 
CZK/EUR,1993-12-02 ,33.361 
CZK/EUR,1993-12-03 ,33.422 
CZK/EUR,1993-12-06 ,33.711 
CZK/EUR,1993-12-07 ,33.785 
CZK/EUR,1993-12-08 ,33.560 
CZK/EUR,1993-12-09 ,33.657 
CZK/EUR,1993-12-10 ,33.812 
CZK/EUR,1993-12-13 ,33.651 
CZK/EUR,1993-12-14 ,33.388 
CZK/EUR,1993-12-15 ,33.497 
CZK/EUR,1993-12-16 ,33.604 
CZK/EUR,1993-12-17 ,33.689 
CZK/EUR,1993-12-20 ,33.562 
CZK/EUR,1993-12-21 ,33.744 
CZK/EUR,1993-12-22 ,33.742 
CZK/EUR,1993-12-23 ,33.848 
CZK/EUR,1993-12-27 ,33.647 
CZK/EUR,1993-12-28 ,33.760 
CZK/EUR,1993-12-29 ,33.455 
CZK/EUR,1993-12-30 ,33.275 
CZK/EUR,1993-12-31 ,33.420 
CZK/EUR,1994-01-03 ,33.487 
CZK/EUR,1994-01-04 ,33.469 
CZK/EUR,1994-01-05 ,33.618 
CZK/EUR,1994-01-06 ,33.532 
CZK/EUR,1994-01-07 ,33.520 
CZK/EUR,1994-01-10 ,33.728 
CZK/EUR,1994-01-11 ,33.390 
CZK/EUR,1994-01-12 ,33.615 
CZK/EUR,1994-01-13 ,33.502 
CZK/EUR,1994-01-14 ,33.320 
CZK/EUR,1994-01-17 ,33.486 
